 
Wed Jan 6 13:37:16 2016 ... X:7.10
Wed Jan 6 13:37:17 2016 ... X:10.51
Wed Jan 6 13:37:19 2016 ... X:7.71 Y:-6.46
Wed Jan 6 13:37:20 2016 ... X:12.53 Y:-10.73
Wed Jan 6 13:37:21 2016 ... X:12.78 Y:-7.76
Wed Jan 6 13:37:22 2016 ... X:11.78 Y:-3.39
Wed Jan 6 13:37:24 2016 ... X:21.45
Wed Jan 6 13:37:25 2016 ... X:23.52
Wed Jan 6 13:37:26 2016 ... X:24.25 Y:4.85
Wed Jan 6 13:37:27 2016 ... X:26.36 Y:7.93
Wed Jan 6 13:37:29 2016 ... X:28.01 Y:9.41
Wed Jan 6 13:37:30 2016 ... X:23.08 Y:11.37
Wed Jan 6 13:37:31 2016 ... X:23.84 Y:7.41
Wed Jan 6 13:37:32 2016 ... X:23.91 Y:7.82
Wed Jan 6 13:37:34 2016 ... X:29.87 Y:7.34
Wed Jan 6 13:37:35 2016 ... X:24.70 Y:5.02
Wed Jan 6 13:37:36 2016 ... X:21.90 Y:7.80
Wed Jan 6 13:37:38 2016 ... X:28.28
Wed Jan 6 13:37:39 2016 ... X:29.20 Y:-4.58
Wed Jan 6 13:37:40 2016 ... X:29.97 Y:-8.23
Wed Jan 6 13:37:41 2016 ... X:34.26 Y:-7.82
Wed Jan 6 13:37:43 2016 ... X:30.32 Y:-6.72
Wed Jan 6 13:37:44 2016 ... X:33.16 Y:-8.63
Wed Jan 6 13:37:45 2016 ... X:34.23 Y:-10.80
Wed Jan 6 13:37:46 2016 ... X:33.64 Y:-11.27
Wed Jan 6 13:37:48 2016 ... X:30.85 Y:-12.63
Wed Jan 6 13:37:49 2016 ... X:32.61 Y:-14.26
Wed Jan 6 13:37:50 2016 ... X:32.63 Y:-9.27
Wed Jan 6 13:37:51 2016 ... X:35.70 Y:-9.04
Wed Jan 6 13:37:53 2016 ... X:32.03 Y:-6.57
Wed Jan 6 13:37:54 2016 ... X:36.51 Y:-8.52
Wed Jan 6 13:37:55 2016 ... X:37.58 Y:-8.99
Wed Jan 6 13:37:56 2016 ... X:41.42 Y:-6.41
Wed Jan 6 13:37:58 2016 ... X:46.32
Wed Jan 6 13:37:59 2016 ... X:48.81 Y:-6.86
Wed Jan 6 13:38:00 2016 ... X:48.91 Y:-7.67
Wed Jan 6 13:38:01 2016 ... X:46.78 Y:-11.20
Wed Jan 6 13:38:03 2016 ... X:51.80 Y:-14.59
Wed Jan 6 13:38:04 2016 ... X:52.78 Y:-15.21
Wed Jan 6 13:38:05 2016 ... X:61.53 Y:-14.09
Wed Jan 6 13:38:06 2016 ... X:62.42 Y:-15.86
Wed Jan 6 13:38:08 2016 ... X:62.78 Y:-8.25
Wed Jan 6 13:38:09 2016 ... X:66.39 Y:-6.95
Wed Jan 6 13:38:10 2016 ... X:70.38 Y:-12.37
Wed Jan 6 13:38:11 2016 ... X:66.97 Y:-11.70
Wed Jan 6 13:38:13 2016 ... X:67.22 Y:-7.15
Wed Jan 6 13:38:14 2016 ... X:70.36 Y:-8.90
Wed Jan 6 13:38:15 2016 ... X:67.01 Y:-11.18
Wed Jan 6 13:38:17 2016 ... X:69.97 Y:-11.67
Wed Jan 6 13:38:18 2016 ... X:66.55 Y:-15.06
Wed Jan 6 13:38:19 2016 ... X:66.23 Y:-10.03
Wed Jan 6 13:38:20 2016 ... X:71.05 Y:-13.12
Wed Jan 6 13:38:22 2016 ... X:71.80 Y:-14.03
Wed Jan 6 13:38:23 2016 ... X:72.82 Y:-15.14
Wed Jan 6 13:38:24 2016 ... X:70.75 Y:-13.04
Wed Jan 6 13:38:25 2016 ... X:72.56 Y:-12.33
Wed Jan 6 13:38:27 2016 ... X:70.51 Y:-15.37
Wed Jan 6 13:38:28 2016 ... X:74.74 Y:-9.60
Wed Jan 6 13:38:29 2016 ... X:69.40 Y:-11.47
Wed Jan 6 13:38:30 2016 ... X:69.25 Y:-10.69
Wed Jan 6 13:38:32 2016 ... X:69.61 Y:-6.71
Wed Jan 6 13:38:33 2016 ... X:69.32 Y:-6.58
Wed Jan 6 13:38:34 2016 ... X:67.69 Y:-7.34
Wed Jan 6 13:38:35 2016 ... X:70.54 Y:-9.32
Wed Jan 6 13:38:37 2016 ... X:71.94 Y:-12.58
Wed Jan 6 13:38:38 2016 ... X:73.52 Y:-12.33
Wed Jan 6 13:38:39 2016 ... X:72.92 Y:-14.46
Wed Jan 6 13:38:40 2016 ... X:70.63 Y:-16.31
Wed Jan 6 13:38:42 2016 ... X:70.42 Y:-14.63
Wed Jan 6 13:38:43 2016 ... X:70.62 Y:-15.23
Wed Jan 6 13:38:44 2016 ... X:74.24 Y:-12.42
Wed Jan 6 13:38:45 2016 ... X:70.22 Y:-17.11
Wed Jan 6 13:38:47 2016 ... X:67.38 Y:-17.35
Wed Jan 6 13:38:48 2016 ... X:64.75 Y:-17.17
Wed Jan 6 13:38:49 2016 ... X:66.06 Y:-18.43
Wed Jan 6 13:38:50 2016 ... X:70.66 Y:-18.81
Wed Jan 6 13:38:52 2016 ... X:77.10 Y:-18.86
Wed Jan 6 13:38:53 2016 ... X:77.65 Y:-20.61
Wed Jan 6 13:38:54 2016 ... X:74.27 Y:-16.62
Wed Jan 6 13:38:55 2016 ... X:73.89 Y:-16.12
Wed Jan 6 13:38:57 2016 ... X:74.27 Y:-19.57
Wed Jan 6 13:38:58 2016 ... X:72.05 Y:-13.67
Wed Jan 6 13:38:59 2016 ... X:73.41 Y:-12.97
Wed Jan 6 13:39:00 2016 ... X:72.03 Y:-12.97
Wed Jan 6 13:39:02 2016 ... X:70.60 Y:-13.79
Wed Jan 6 13:39:03 2016 ... X:74.39 Y:-11.03
Wed Jan 6 13:39:04 2016 ... X:73.23 Y:-6.01
Wed Jan 6 13:39:05 2016 ... X:74.04 Y:-4.94
Wed Jan 6 13:39:07 2016 ... X:71.39 Y:-6.74
Wed Jan 6 13:39:08 2016 ... X:71.18 Y:-12.10
Wed Jan 6 13:39:09 2016 ... X:75.39 Y:-13.20
Wed Jan 6 13:39:10 2016 ... X:73.16 Y:-10.62
Wed Jan 6 13:39:12 2016 ... X:72.80 Y:-7.81
Wed Jan 6 13:39:13 2016 ... X:74.21 Y:-6.91
Wed Jan 6 13:39:14 2016 ... X:75.54 Y:-11.38
Wed Jan 6 13:39:16 2016 ... X:77.59 Y:-11.36
Wed Jan 6 13:39:17 2016 ... X:80.78 Y:-14.45
Wed Jan 6 13:39:18 2016 ... X:82.73 Y:-12.07
Wed Jan 6 13:39:19 2016 ... X:85.72 Y:-15.53
Wed Jan 6 13:39:21 2016 ... X:90.94 Y:-7.05
Wed Jan 6 13:39:22 2016 ... X:95.13 Y:-9.13
Wed Jan 6 13:39:23 2016 ... X:93.76 Y:-14.71
Wed Jan 6 13:39:24 2016 ... X:94.57 Y:-8.71
Wed Jan 6 13:39:26 2016 ... X:89.35
Wed Jan 6 13:39:27 2016 ... X:88.36
Wed Jan 6 13:39:28 2016 ... X:88.77
Wed Jan 6 13:39:29 2016 ... X:88.21
Wed Jan 6 13:39:31 2016 ... X:87.21 Y:4.28
Wed Jan 6 13:39:32 2016 ... X:87.55 Y:4.73
Wed Jan 6 13:39:33 2016 ... X:91.37 Y:6.49
Wed Jan 6 13:39:34 2016 ... X:93.37 Y:9.61
Wed Jan 6 13:39:36 2016 ... X:97.60 Y:9.61
Wed Jan 6 13:39:37 2016 ... X:99.17 Y:14.70
Wed Jan 6 13:39:38 2016 ... X:97.89 Y:15.29
Wed Jan 6 13:39:39 2016 ... X:98.02 Y:12.30
Wed Jan 6 13:39:41 2016 ... X:101.78 Y:12.47
Wed Jan 6 13:39:42 2016 ... X:103.72 Y:9.08
Wed Jan 6 13:39:43 2016 ... X:105.88 Y:11.35
Wed Jan 6 13:39:44 2016 ... X:107.78 Y:10.41
Wed Jan 6 13:39:46 2016 ... X:113.50 Y:7.87
Wed Jan 6 13:39:47 2016 ... X:113.47 Y:6.93
Wed Jan 6 13:39:48 2016 ... X:116.56 Y:4.72
Wed Jan 6 13:39:49 2016 ... X:117.10 Y:4.26
Wed Jan 6 13:39:51 2016 ... X:118.99 Y:3.91
Wed Jan 6 13:39:52 2016 ... X:117.19 Y:9.17
Wed Jan 6 13:39:53 2016 ... X:123.43 Y:10.43
Wed Jan 6 13:39:54 2016 ... X:128.94 Y:14.53
Wed Jan 6 13:39:56 2016 ... X:128.22 Y:18.75
Wed Jan 6 13:39:57 2016 ... X:127.14 Y:19.30
